name,season,GP,TOI,G,A,P,SH,SH%,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Andy Andreoff,20152016,60,527.92,8,2,10,46,17.39,134,134,9.37,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Andy Greene,20132014,82,2005.54,8,24,32,134,5.97,0,0,207.46,3.0,10.0,13.0,30.0,D,23.4,182.0,0
Andy Greene,20142015,82,1920.88,3,19,22,83,3.61,0,0,59.95,0.0,1.0,1.0,2.0,D,23.4,182.0,0
Andy Greene,20152016,82,1877.29,4,9,13,63,6.35,0,0,45.66,1.0,0.0,1.0,2.0,D,23.4,182.0,0
Andy Miele,20132014,7,65.51,0,2,2,6,0.0,15,27,3.38,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Anthony Bitetto,20142015,7,82.45,0,0,0,2,0.0,1,0,0.42,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Anthony Bitetto,20152016,28,339.75,1,5,6,19,5.26,0,0,2.69,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Anthony Duclair,20142015,18,218.46,1,6,7,18,5.56,0,0,29.01,0.0,1.0,1.0,2.0,"L,R",17.8,172.5,80%
Anthony Duclair,20152016,81,1164.23,20,24,44,105,19.05,0,1,236.74,8.0,4.0,12.0,35.0,"L,R",17.8,172.5,80%
Anthony Mantha,20152016,10,117.4,2,1,3,18,11.11,0,0,20.47,2.0,0.0,2.0,2.0,R,23.4,182.0,0
Anthony Peluso,20132014,53,306.0,2,3,5,24,8.33,1,2,3.48,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Anthony Peluso,20142015,49,288.04,1,1,2,23,4.35,0,1,3.88,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Anthony Peluso,20152016,35,223.42,1,4,5,16,6.25,0,0,1.67,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Antoine Roussel,20132014,81,1086.17,14,15,29,114,12.28,19,25,27.9,0.0,0.0,0.0,2.0,L,23.4,182.0,0
Antoine Roussel,20142015,80,1160.1,13,12,25,113,11.5,3,14,58.36,0.0,3.0,3.0,5.0,L,23.4,182.0,0
Antoine Roussel,20152016,80,1105.51,13,16,29,111,11.71,15,20,47.199999999999996,0.0,1.0,1.0,1.0,L,23.4,182.0,0
Antoine Vermette,20132014,82,1574.25,24,21,45,160,15.0,1005,778,206.95,7.0,4.0,11.0,29.0,C,23.4,182.0,0
Antoine Vermette,20142015,82,1461.69,13,25,38,109,11.93,872,705,186.15,6.0,7.0,13.0,21.0,C,23.4,182.0,0
Antoine Vermette,20152016,76,1261.88,17,21,38,123,13.82,754,597,214.57000000000002,5.0,9.0,14.0,19.0,C,23.4,182.0,0
Anton Belov,20132014,57,950.06,1,6,7,54,1.85,0,0,84.02000000000001,0.0,2.0,2.0,11.0,D,23.4,182.0,0
Anton Lander,20132014,27,367.11,0,1,1,18,0.0,71,89,32.86,0.0,0.0,0.0,1.0,C,23.4,182.0,0
