name,GP,TOI,G,A,P,SH,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Eric Boulton,14.333333333333334,97.08,2.0,0.6666666666666666,2.6666666666666665,13.0,0.0,0.0,2.1166666666666667,0.0,0.0,0.0,0.6666666666666666,L,23.4,182.0,0
Eric Brewer,55.0,994.4200000000001,3.3333333333333335,10.0,13.333333333333334,49.666666666666664,0.0,0.0,9.633333333333333,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Eric Fehr,63.285714285714285,881.6242857142859,11.857142857142858,10.0,21.857142857142858,102.57142857142857,217.42857142857142,228.28571428571428,30.607142857142858,0.2857142857142857,0.7142857142857143,1.0,3.7142857142857144,R,23.4,182.0,0
Eric Gelinas,48.857142857142854,745.3385714285714,3.2857142857142856,9.714285714285714,13.0,81.14285714285714,0.0,0.0,92.15142857142857,2.0,4.857142857142857,6.857142857142857,19.0,D,23.4,182.0,0
Eric Gryba,59.857142857142854,1017.3671428571428,0.8571428571428571,7.571428571428571,8.428571428571429,59.57142857142857,0.0,0.0,8.305714285714286,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Eric Nystrom,54.714285714285715,693.8157142857143,8.142857142857142,2.2857142857142856,10.428571428571429,49.714285714285715,2.0,4.0,8.234285714285715,0.0,0.0,0.0,0.14285714285714285,L,23.4,182.0,0
Eric O'Dell,17.333333333333332,151.29333333333332,1.0,2.0,3.0,9.666666666666666,37.666666666666664,41.333333333333336,6.079999999999999,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Eric Staal,80.71428571428571,1521.9157142857143,17.0,29.428571428571427,46.42857142857143,216.28571428571428,460.57142857142856,416.0,218.38714285714286,2.7142857142857144,7.0,9.714285714285714,34.57142857142857,C,14.7,162.6,9%
Eric Tangradi,55.0,476.2,3.0,3.0,6.0,52.0,3.0,0.0,14.07,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Erik Cole,70.33333333333333,1037.77,19.333333333333332,16.333333333333332,35.666666666666664,127.66666666666667,9.666666666666666,14.666666666666666,150.1966666666667,3.0,5.333333333333333,8.333333333333334,19.0,L,23.4,182.0,0
Erik Condra,61.142857142857146,737.0071428571429,6.857142857142857,8.285714285714286,15.142857142857142,75.57142857142857,1.2857142857142858,5.142857142857143,12.944285714285714,0.0,0.0,0.0,0.5714285714285714,R,23.4,182.0,0
