"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"658","DARREN.HELM","20142015","Regular","C","DET",75,122.61,2,0,0,0,2,2,0.98,0,0,0,0.98,0.98,22,10.77,9.09,20,9.79,10,15,7.34,13.33,1.9,0.93,9.52,8,3.91,8,2,1,10,8,29,42,40.85,2,0,-2,2,3,30.01
"659","DARREN.HELM","20152016","Regular","C","DET",77,143.31,0,0,0,0,0,0,0,0,0,0,0,0,17,7.12,0,13,5.44,0,7,2.93,0,1.14,0.48,8.76,4,1.67,13,3,2,6,7,6,5,54.55,1,3,2,1,1,27.8
"660","DARROLL.POWE","20132014","Regular","C","NYR",1,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"661","DAVE.BOLLAND","20132014","Regular","C","TOR",23,28.71,1,0,0,0,1,1,2.09,0,0,0,2.09,2.09,2,4.18,50,2,4.18,50,2,4.18,50,0.06,0.12,2.83,0,0,2,0,3,3,1,5,6,45.45,0,0,0,0,0,48.35
"662","DAVE.BOLLAND","20142015","Regular","C","FLA",53,88.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0.68,0,1,0.68,0,1,0.68,0,0.03,0.02,3.02,0,0,6,1,2,4,2,47,71,39.83,3,0,-3,0,0,33.84
"663","DAVE.BOLLAND","20152016","Regular","C","FLA",25,48.8,0,0,0,0,0,0,0,0,0,0,0,0,2,2.46,0,2,2.46,0,0,0,NA,0.06,0.07,2.96,0,0,2,2,1,0,4,18,33,35.29,0,0,0,0,0,28.87
"664","DAVE.DZIURZYNSKI","20152016","Regular","L","OTT",14,4.51,0,0,0,0,0,0,0,0,0,0,0,0,1,13.3,0,1,13.3,0,1,13.3,0,0.07,0.95,7.16,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,13.89
"665","DAVID.BACKES","20132014","Regular","R","STL",74,146.77,0,0,0,0,0,0,0,0,0,0,0,0,5,2.04,0,4,1.64,0,2,0.82,0,0.12,0.05,2.98,0,0,11,2,3,4,12,80,61,56.74,1,0,-1,0,0,36.6
"666","DAVID.BACKES","20142015","Regular","R","STL",80,147.18,0,0,0,0,0,0,0,0,0,0,0,0,13,5.3,0,9,3.67,0,6,2.45,0,0.4,0.16,4.4,2,0.82,11,2,1,7,12,77,68,53.1,1,1,0,1,3,49.51
"667","DAVID.BACKES","20152016","Regular","R","STL",79,145.38,0,0,0,0,0,0,0,0,0,0,0,0,7,2.89,0,7,2.89,0,5,2.06,0,0.29,0.12,4.14,1,0.41,14,5,4,11,15,59,62,48.76,4,1,-3,0,1,41.33
"668","DAVID.BOOTH","20132014","Regular","L","VAN",66,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA
"669","DAVID.BOOTH","20142015","Regular","L","TOR",59,82.17,0,1,0,1,1,1,0,0.73,0,0.73,0.73,0.73,16,11.68,0,13,9.49,0,9,6.57,0,0.98,0.72,7.53,5,3.65,3,2,3,2,1,1,5,16.67,0,1,1,0,0,23.78
"670","DAVID.CLARKSON","20132014","Regular","R","TOR",60,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
